"On the whole are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with the life you lead ?"
Belgium
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,43% ,49% ,6% ,2% ,0% 
05/1975,39% ,52% ,5% ,2% ,2% 
10/1975,36% ,51% ,8% ,4% ,1% 
05/1976,36% ,52% ,8% ,3% ,1% 
11/1976,40% ,51% ,7% ,2% ,0% 
06/1977,38% ,52% ,8% ,2% ,0% 
10/1977,46% ,44% ,6% ,3% ,1% 
05/1978,37% ,51% ,9% ,2% ,1% 
10/1978,46% ,43% ,8% ,2% ,1% 
04/1979,42% ,47% ,7% ,2% ,2% 
04/1980,35% ,53% ,8% ,3% ,1% 
05/1981,36% ,49% ,10% ,3% ,2% 
05/1982,29% ,51% ,12% ,4% ,4% 
10/1982,20% ,60% ,12% ,4% ,4% 
04/1983,23% ,60% ,12% ,4% ,1% 
11/1983,18% ,60% ,15% ,4% ,3% 
04/1984,30% ,46% ,15% ,8% ,1% 
11/1984,16% ,63% ,15% ,5% ,1% 
04/1985,26% ,58% ,13% ,2% ,1% 
11/1985,18% ,62% ,15% ,4% ,1% 
03/1986,22% ,57% ,15% ,5% ,1% 
11/1986,13% ,61% ,19% ,5% ,2% 
05/1987,30% ,54% ,10% ,4% ,2% 
11/1987,23% ,56% ,16% ,4% ,1% 
04/1988,29% ,55% ,11% ,4% ,1% 
11/1988,16% ,57% ,23% ,3% ,1% 
03/1989,30% ,55% ,9% ,4% ,2% 
07/1989,26% ,55% ,12% ,4% ,3% 
11/1989,28% ,61% ,9% ,2% ,0.40% 
04/1990,35% ,55% ,6% ,3% ,1% 
11/1990,23% ,63% ,11% ,3% ,0.50% 
03/1991,38% ,52% ,7% ,2% ,0.30% 
10/1991,32% ,56% ,9% ,2% ,0.50% 
04/1992,29% ,59% ,8% ,2% ,1% 
10/1992,30% ,59% ,7% ,3% ,0.50% 
04/1993,26% ,63% ,8% ,3% ,0.40% 
11/1993,26% ,58% ,11% ,4% ,1% 
05/1994,33% ,55% ,8% ,3% ,0.70% 
12/1994,21% ,63% ,11% ,3% ,1% 
06/1995,26% ,63% ,8% ,2% ,0.40% 
01/1996,25% ,62% ,9% ,3% ,1% 
04/1997,20% ,58% ,16% ,5% ,1% 
05/1998,18% ,61% ,16% ,4% ,1% 
11/1999,24% ,59% ,12% ,4% ,0.50% 
06/2000,19% ,61% ,15% ,4% ,0.30% 
01/2001,24% ,62% ,10% ,3% ,1% 
05/2001,26% ,59% ,11% ,2% ,1% 
11/2001,18% ,66% ,13% ,2% ,0.70% 
11/2003,22.50% ,60.20% ,12.50% ,2.80% ,2.10% 
10/2004,33% ,58% ,7% ,2% ,0% 
06/2005,33% ,56% ,9% ,3% ,0% 
10/2005,29% ,59% ,8% ,3% ,0% 
04/2006,31% ,60% ,6% ,2% ,0% 
09/2006,33% ,57% ,8% ,2% ,0% 
05/2007,32% ,57% ,9% ,2% ,0% 
10/2007,32% ,58% ,7% ,3% ,0% 
04/2008,29% ,58% ,9% ,4% ,0% 
10/2008,28% ,59% ,10% ,3% ,0% 
06/2009,35% ,56% ,8% ,1% ,0% 
11/2009,28% ,61% ,8% ,3% ,0% 
06/2010,30% ,58% ,10% ,2% ,0% 
11/2010,29% ,60% ,8% ,3% ,0% 
05/2011,32% ,59% ,8% ,1% ,0% 
11/2011,26% ,61% ,10% ,3% ,0% 
05/2012,29% ,62% ,7% ,2% ,0% 
11/2012,29% ,59% ,10% ,2% ,0% 
05/2013,32% ,60% ,6% ,2% ,0% 
Denmark
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,51% ,44% ,4% ,1% ,0% 
05/1975,51% ,41% ,4% ,0% ,4% 
10/1975,36% ,51% ,3% ,1% ,9% 
05/1976,49% ,45% ,5% ,1% ,0% 
11/1976,50% ,42% ,6% ,1% ,1% 
06/1977,54% ,42% ,3% ,0% ,1% 
10/1977,53% ,41% ,5% ,1% ,0% 
05/1978,54% ,40% ,5% ,1% ,0% 
10/1978,58% ,38% ,3% ,1% ,0% 
04/1979,51% ,43% ,4% ,1% ,1% 
04/1980,55% ,40% ,4% ,1% ,0% 
05/1981,59% ,36% ,3% ,1% ,1% 
05/1982,57% ,37% ,5% ,0% ,1% 
10/1982,57% ,39% ,3% ,0% ,1% 
04/1983,54% ,41% ,4% ,1% ,0% 
11/1983,55% ,40% ,4% ,0% ,1% 
04/1984,56% ,37% ,4% ,1% ,2% 
11/1984,58% ,37% ,3% ,0% ,2% 
04/1985,63% ,32% ,3% ,1% ,1% 
11/1985,55% ,40% ,4% ,0% ,1% 
03/1986,63% ,32% ,3% ,1% ,1% 
11/1986,52% ,42% ,4% ,1% ,1% 
05/1987,61% ,35% ,3% ,0% ,1% 
11/1987,48% ,46% ,4% ,1% ,1% 
04/1988,60% ,36% ,3% ,0% ,1% 
11/1988,37% ,46% ,15% ,2% ,0% 
03/1989,57% ,38% ,4% ,0% ,1% 
07/1989,56% ,38% ,5% ,1% ,0% 
11/1989,57% ,38% ,3% ,0.60% ,0.50% 
04/1990,63% ,34% ,2% ,0.50% ,0.10% 
11/1990,58% ,37% ,3% ,0.60% ,0.30% 
03/1991,61% ,36% ,2% ,0.60% ,0.10% 
10/1991,63% ,34% ,2% ,0.60% ,0.30% 
04/1992,66% ,31% ,2% ,0.60% ,0.10% 
10/1992,63% ,33% ,3% ,0.60% ,0.30% 
04/1993,64% ,32% ,2% ,1% ,0.10% 
11/1993,63% ,33% ,2% ,0.60% ,0.50% 
05/1994,68% ,29% ,2% ,0.60% ,0.10% 
12/1994,62% ,34% ,3% ,0.50% ,0.10% 
06/1995,66% ,31% ,2% ,0.30% ,0.10% 
01/1996,66% ,30% ,2% ,0.30% ,2% 
04/1997,62% ,35% ,3% ,0.30% ,0% 
05/1998,67% ,30% ,2% ,0.50% ,0.30% 
11/1999,63% ,33% ,3% ,0.60% ,0.40% 
06/2000,57% ,38% ,4% ,0.70% ,0.30% 
01/2001,59% ,37% ,2% ,0.10% ,2% 
05/2001,62% ,35% ,2% ,0.60% ,0% 
11/2001,64% ,32% ,3% ,0.60% ,0.40% 
11/2003,61% ,34.90% ,3.10% ,0.50% ,0.60% 
10/2004,64% ,33% ,2% ,1% ,0% 
06/2005,67% ,31% ,2% ,1% ,0% 
10/2005,64% ,33% ,3% ,1% ,0% 
04/2006,66% ,30% ,2% ,1% ,0% 
09/2006,64% ,33% ,2% ,1% ,0% 
05/2007,64% ,33% ,2% ,1% ,0% 
10/2007,67% ,31% ,1% ,1% ,0% 
04/2008,65% ,31% ,3% ,1% ,0% 
10/2008,64% ,32% ,3% ,1% ,0% 
06/2009,70% ,28% ,2% ,0% ,0% 
11/2009,68% ,30% ,2% ,0% ,0% 
06/2010,69% ,29% ,2% ,0% ,0% 
11/2010,66% ,31% ,3% ,0% ,0% 
05/2011,68% ,29% ,3% ,0% ,0% 
11/2011,70% ,27% ,3% ,0% ,0% 
05/2012,71% ,26% ,2% ,1% ,0% 
11/2012,68% ,29% ,3% ,0% ,0% 
05/2013,70% ,26% ,3% ,1% ,0% 
Germany
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,17% ,65% ,15% ,2% ,1% 
05/1975,13% ,66% ,16% ,2% ,3% 
10/1975,14% ,65% ,17% ,2% ,1% 
05/1976,19% ,60% ,17% ,2% ,2% 
11/1976,22% ,60% ,15% ,2% ,1% 
06/1977,19% ,62% ,14% ,3% ,2% 
10/1977,24% ,61% ,12% ,2% ,1% 
05/1978,21% ,61% ,14% ,3% ,1% 
10/1978,20% ,65% ,12% ,1% ,2% 
04/1979,24% ,62% ,10% ,2% ,2% 
04/1980,17% ,68% ,11% ,2% ,2% 
05/1981,16% ,61% ,16% ,3% ,4% 
05/1982,20% ,63% ,12% ,2% ,3% 
10/1982,19% ,65% ,12% ,2% ,2% 
04/1983,18% ,63% ,15% ,3% ,1% 
11/1983,12% ,66% ,15% ,2% ,5% 
04/1984,20% ,63% ,12% ,2% ,3% 
11/1984,13% ,71% ,13% ,2% ,1% 
04/1985,24% ,60% ,14% ,2% ,0% 
11/1985,14% ,64% ,17% ,3% ,2% 
03/1986,25% ,63% ,10% ,2% ,0% 
11/1986,18% ,65% ,14% ,2% ,1% 
05/1987,21% ,65% ,11% ,2% ,1% 
11/1987,15% ,68% ,14% ,2% ,1% 
04/1988,23% ,64% ,11% ,2% ,0% 
11/1988,25% ,56% ,17% ,1% ,1% 
03/1989,20% ,70% ,8% ,1% ,1% 
07/1989,27% ,61% ,8% ,2% ,2% 
11/1989,27% ,63% ,8% ,1% ,0.50% 
04/1990,29% ,59% ,9% ,2% ,0.30% 
11/1990,21% ,68% ,9% ,2% ,0.10% 
03/1991,23% ,61% ,12% ,2% ,0.40% 
10/1991,21% ,64% ,12% ,2% ,0.50% 
04/1992,20% ,63% ,14% ,2% ,0.40% 
10/1992,23% ,63% ,11% ,2% ,0.50% 
04/1993,22% ,61% ,14% ,2% ,0.40% 
11/1993,19% ,65% ,13% ,3% ,0.20% 
05/1994,17% ,66% ,14% ,2% ,0.40% 
12/1994,17% ,68% ,12% ,2% ,0.40% 
06/1995,20% ,63% ,13% ,3% ,0.60% 
01/1996,17% ,62% ,15% ,3% ,1% 
04/1997,11% ,60% ,22% ,5% ,1% 
05/1998,13% ,64% ,18% ,4% ,1% 
11/1999,17% ,65% ,15% ,3% ,0.60% 
06/2000,11% ,60% ,23% ,4% ,2% 
01/2001,16% ,65% ,16% ,2% ,1% 
05/2001,16% ,67% ,14% ,2% ,0.60% 
11/2001,18% ,65% ,14% ,3% ,1% 
11/2003,14% ,59.10% ,19.70% ,4.70% ,2.60% 
10/2004,21% ,63% ,13% ,3% ,0% 
06/2005,21% ,62% ,13% ,3% ,0% 
10/2005,19% ,60% ,18% ,3% ,0% 
04/2006,17% ,65% ,14% ,4% ,0% 
09/2006,21% ,60% ,14% ,4% ,0% 
05/2007,24% ,62% ,11% ,3% ,0% 
10/2007,22% ,61% ,13% ,4% ,0% 
04/2008,19% ,63% ,14% ,4% ,0% 
10/2008,20% ,65% ,11% ,4% ,0% 
06/2009,25% ,59% ,12% ,3% ,1% 
11/2009,22% ,63% ,12% ,2% ,1% 
06/2010,22% ,62% ,12% ,3% ,1% 
11/2010,24% ,63% ,10% ,3% ,0% 
05/2011,25% ,63% ,10% ,2% ,0% 
11/2011,27% ,61% ,10% ,2% ,0% 
05/2012,26% ,63% ,9% ,2% ,0% 
11/2012,27% ,62% ,9% ,2% ,0% 
05/2013,29% ,60% ,9% ,2% ,0% 
Greece
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,0% ,0% ,0% ,0% ,0% 
05/1975,0% ,0% ,0% ,0% ,0% 
